epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0864,1.97736,3.85239,2.03085,0.32534,0.28889,0.23502,0.11712,1.83965,2.96063,1.66557,0.00332248,0.00332248,0.0700977
2,209.647,1.62526,2.6992,1.65223,0.4329,0.35282,0.33355,0.20618,1.47754,2.40292,1.36453,0.00658992,0.00658992,0.0400318
3,408.811,1.62716,2.57445,1.6451,0.4485,0.32332,0.2943,0.18528,1.6175,3.0199,1.52369,0.00979136,0.00979136,0.00989993
4,666.385,1.65235,2.61186,1.67416,0.43668,0.38306,0.35216,0.20551,1.6713,2.51541,1.52916,0.009703,0.009703,0.009703
5,931.098,1.6359,2.52675,1.67508,0.46985,0.34594,0.33216,0.20811,1.59193,2.66819,1.49447,0.009604,0.009604,0.009604
6,1214.49,1.60161,2.47453,1.66994,0.42778,0.37298,0.35446,0.2326,1.47248,2.48671,1.43608,0.009505,0.009505,0.009505
